,Burke,Paine,p values Burke,p values Paine
Text,71,213,3.7105677419546623e-09,4.734953873430925e-09
Desiring,199,100,3.373159931063796e-05,3.816835322978385e-05
Opinion,233,99,1.1144707057209047e-07,1.3593665615374562e-07
Supply,71,30,0.0032430774570126886,0.003460650549573896
Aggregate,197,123,0.0025076476457159824,0.0026845756826398004
Residence,35,69,0.020563745716526305,0.02144584262458815
Certainty,142,88,0.00931171659961072,0.009806268203289337
Awareness,330,251,0.014564284395352067,0.015253330696041068
Text_creation,31,90,0.00017533583059081703,0.00019420196088459907
Referring_by_name,15,36,0.04020129925243754,0.041587342000646954
Organization,126,419,0.0,0.0
Statement,428,565,0.0033767458394344807,0.003601454727405251
Choosing,61,31,0.023449711735300527,0.02441652223737245
Hearsay,41,12,0.004210468827693603,0.004478221204042621
Buildings,104,62,0.017509948700999756,0.01829696251459101
System,111,237,2.5817445398201855e-06,3.021214403875483e-06
Foreign_or_domestic_country,79,38,0.006102135355857019,0.006460105522323123
People_by_jurisdiction,29,80,0.0006373854658540123,0.0006943490943873698
Regard,75,39,0.014507578751134398,0.015194670923022957
Activity_start,20,59,0.002140184437913528,0.002295780569583905
State_of_entity,142,82,0.003528643997751879,0.0037613779393568247
Importance,58,19,0.0013918242156397698,0.0015011827929928279
Experiencer_focus,141,75,0.0011218396362547844,0.001213309457907319
Measure_duration,57,106,0.0077911559708351286,0.008223133972464325
Time_vector,43,79,0.02389741459364003,0.024876963999745372
Identicality,117,176,0.01816513332640257,0.018973063726859696
Killing,67,20,0.0002936513789570938,0.0003230931512752111
Level_of_force_exertion,21,4,0.014816199335124236,0.015513893787695743
Age,251,154,0.00043462833571972226,0.0004758006477928456
Military,81,23,4.404253739054287e-05,4.966283679119776e-05
Process_continue,45,87,0.011154012757056964,0.011720190970882949
Body_parts,97,58,0.022407096514611258,0.023343833167701944
Event,34,79,0.0031585734135183285,0.003371598258988473
Categorization,121,78,0.025640706381310996,0.02666890424096513
Quantified_mass,134,197,0.017868862873965607,0.018667371682799194
Objective_influence,100,61,0.02491301524553957,0.025921087041099078
Causation,202,152,0.04800441082709961,0.04955445620146348
Cardinal_numbers,76,130,0.009333129873951851,0.009828538851209379
Attributed_information,64,14,4.905510263053525e-05,5.523759409942208e-05
Compliance,98,62,0.03742686944620499,0.03875045287440071
Being_necessary,84,126,0.04705337162278389,0.048584278684872584
Origin,28,115,3.3275190847170677e-07,4.000452309416147e-07
Arriving,85,164,0.0005101479200285697,0.0005573276285841811
Process_start,18,81,8.823238842881054e-06,1.0160094661482155e-05
Explaining_the_facts,2,13,0.04589368794195137,0.04740095284571555
Cotheme,44,14,0.004623228952518987,0.004911465144532778
Labeling,44,102,0.0008168902051954863,0.0008870776679738013
Simple_naming,32,61,0.03691419836507204,0.03822597828547225
Intentionally_create,136,265,7.703839386197231e-06,8.886857537526716e-06
Preserving,31,8,0.008201126224244293,0.008650318749136021
Give_impression,103,66,0.037263869958877094,0.03858370966572633
Similarity,80,123,0.038268864064175734,0.039611652691549315
Destroying,91,32,0.00012879026415568706,0.00014321799256011847
Abandonment,34,11,0.013682663461145883,0.014341010344940175
Emotion_directed,214,139,0.0034555903234393393,0.0036844756143130653
Instance,66,120,0.006089003741311716,0.0064463769407459015
Finish_competition,16,3,0.0325645681657033,0.03377266450196503
Being_in_category,8,24,0.04777904612289052,0.04932457645394095
Coming_to_be,38,84,0.0037177260983152216,0.0039603305659873245
Education_teaching,79,30,0.0007220758703709862,0.0007853540446941532
Catastrophe,58,16,0.00045448851287732683,0.0004972569634918989
Perception_active,56,28,0.02693985921835018,0.028003370111687853
Possibility,21,52,0.011316052906212848,0.011888337478893285
Subjective_influence,43,17,0.015545143828803898,0.01626756582865474
People_by_residence,14,0,0.007514740673392639,0.007934957755802885
Terrorism,15,3,0.04260212213142989,0.04404037771573299
Vehicle,7,33,0.003900565439253767,0.004152595074228382
Justifying,14,2,0.031702138076067365,0.03288887884342384
Execution,2,16,0.020302647571650234,0.021176845533775523
Medical_intervention,12,1,0.02908706148405149,0.03020729192260574
Commerce_pay,7,27,0.01615898569570695,0.016901900628758848
People_by_origin,7,37,0.0014895281353921597,0.0016051791766017454
Building_subparts,8,30,0.012341196873248528,0.012951454146836738
Duplication,1,11,0.042214207126078374,0.04364413698994152
