,Burke,Paine,p values Burke,p values Paine
Text,71,213,3.7105677419546623e-09,4.734953873430925e-09
Sending,24,28,0.7200203989427946,0.721857616835351
Desiring,199,100,3.373159931063796e-05,3.816835322978385e-05
Opinion,233,99,1.1144707057209047e-07,1.3593665615374562e-07
Supply,71,30,0.0032430774570126886,0.003460650549573896
Aggregate,197,123,0.0025076476457159824,0.0026845756826398004
Residence,35,69,0.020563745716526305,0.02144584262458815
Intentionally_act,275,271,0.8139143161750638,0.8151653852514656
Certainty,142,88,0.00931171659961072,0.009806268203289337
Topic,36,27,0.3990899107595802,0.4023263371539809
Awareness,330,251,0.014564284395352067,0.015253330696041068
Text_creation,31,90,0.00017533583059081703,0.00019420196088459907
Likelihood,142,123,0.36413247682905103,0.3674262907866458
Process,8,3,0.2775437088202346,0.2808470200201302
Receiving,39,47,0.5707886162686704,0.5734289203048826
Referring_by_name,15,36,0.04020129925243754,0.041587342000646954
Praiseworthiness,17,5,0.06603565040897075,0.0679112957480219
Membership,50,71,0.19327006896968657,0.19633708598779476
Increment,235,253,0.6380263846568732,0.6403291558864276
Organization,126,419,0.0,0.0
Political_locales,1168,1130,0.425938462317658,0.4291135768797033
Change_of_leadership,148,198,0.06927909757597406,0.07120677522542929
Activity_ongoing,66,54,0.4061566471922623,0.4093783142570655
People,625,624,0.8474518794202504,0.848483735944063
Self_motion,23,30,0.5177896692866162,0.5206603935419355
Departing,18,14,0.5965941662380124,0.5991103717037065
Creating,90,111,0.3261567672636875,0.329480314232123
Leadership,955,1033,0.3058785880522874,0.3092023055386981
Statement,428,565,0.0033767458394344807,0.003601454727405251
Choosing,61,31,0.023449711735300527,0.02441652223737245
Purpose,183,223,0.19008062787308477,0.19313242090110705
Judgment,58,38,0.13462071229051087,0.13731034791500651
Conduct,41,30,0.3333611694771482,0.336681914361885
Becoming_aware,129,108,0.29697389873152247,0.3002939057735885
Questioning,17,36,0.06932065604424875,0.0712489889766793
Hearsay,41,12,0.004210468827693603,0.004478221204042621
Buildings,104,62,0.017509948700999756,0.01829696251459101
Calendric_unit,91,104,0.5535318743269857,0.5562509941754358
System,111,237,2.5817445398201855e-06,3.021214403875483e-06
Foreign_or_domestic_country,79,38,0.006102135355857019,0.006460105522323123
Experiencer_obj,49,31,0.14114417200118823,0.1438872079488135
Judgment_direct_address,10,6,0.46597159844904,0.4690306759436974
People_by_jurisdiction,29,80,0.0006373854658540123,0.0006943490943873698
Regard,75,39,0.014507578751134398,0.015194670923022957
Willingness,15,8,0.28958242860056105,0.2928975076376089
Activity_start,20,59,0.002140184437913528,0.002295780569583905
Discussion,52,59,0.6744352617198284,0.6765377146072158
Social_event,7,13,0.3522898234130153,0.3555967745010692
Possession,264,249,0.5616923063887536,0.564374589088823
Capability,136,125,0.5741978411647879,0.5768221687385668
State_of_entity,142,82,0.003528643997751879,0.0037613779393568247
Being_named,50,73,0.1563595013058624,0.15921496794601864
Importance,58,19,0.0013918242156397698,0.0015011827929928279
Evidence,59,87,0.11289188958092167,0.11537826022628761
Experiencer_focus,141,75,0.0011218396362547844,0.001213309457907319
Desirability,146,138,0.6752240681988253,0.677322061329297
Measure_duration,57,106,0.0077911559708351286,0.008223133972464325
Time_vector,43,79,0.02389741459364003,0.024876963999745372
Identicality,117,176,0.01816513332640257,0.018973063726859696
Rite,18,31,0.19927950026123398,0.20237376943344454
Avoiding,22,17,0.5494804828834403,0.5522175951082847
Stimulus_focus,32,20,0.22401716476528755,0.22720516630006427
People_by_vocation,68,40,0.04971574745703944,0.051299678958918404
Killing,67,20,0.0002936513789570938,0.0003230931512752111
Prison,5,13,0.18775346930801162,0.19079381369597337
Perception_experience,88,74,0.3995002512175142,0.4027358483884602
Grasp,80,114,0.09608324835184945,0.09838153406396277
Level_of_force_exertion,21,4,0.014816199335124236,0.015513893787695743
Age,251,154,0.00043462833571972226,0.0004758006477928456
Telling,69,46,0.11546612332284334,0.11797877561289272
Military,81,23,4.404253739054287e-05,4.966283679119776e-05
Usefulness,36,38,0.9020840713269148,0.902751192773714
Process_continue,45,87,0.011154012757056964,0.011720190970882949
Daring,14,6,0.19667546338913622,0.19975815024394405
Becoming,82,108,0.2036652072571442,0.20677821559659393
Body_parts,97,58,0.022407096514611258,0.023343833167701944
Type,96,88,0.6279610820451157,0.6303172058369093
Obviousness,23,17,0.4814514510176763,0.4844584862279604
Request,76,66,0.5134120672345004,0.5163002080502213
Attention,20,16,0.6154682829928626,0.6178893161002266
Temporal_subregion,30,32,0.8872075262692852,0.8879747411176876
Event,34,79,0.0031585734135183285,0.003371598258988473
Ordinal_numbers,75,104,0.14081433510893082,0.14355474900431764
Appellations,6,11,0.40071034580063325,0.4039434775015853
Temporal_collocation,57,60,0.8854526386013771,0.8862316266949818
Existence,242,284,0.23500008194546462,0.23822089755765807
Categorization,121,78,0.025640706381310996,0.02666890424096513
Cognitive_connection,21,15,0.4600287886651323,0.4631068245204043
Compatibility,6,10,0.49016402489125166,0.49314013593090833
Getting,108,86,0.2345811473318199,0.23780080435841455
Being_obligated,59,46,0.3420419147016769,0.34535746602414497
Quantified_mass,134,197,0.017868862873965607,0.018667371682799194
Objective_influence,100,61,0.02491301524553957,0.025921087041099078
Causation,202,152,0.04800441082709961,0.04955445620146348
Placing,50,48,0.8480461733480357,0.8490741090238453
Cardinal_numbers,76,130,0.009333129873951851,0.009828538851209379
Cogitation,73,60,0.39196649157779895,0.3952167574080536
Attributed_information,64,14,4.905510263053525e-05,5.523759409942208e-05
Compliance,98,62,0.03742686944620499,0.03875045287440071
Giving,94,68,0.1306654637267407,0.13332109556139227
Robbery,16,4,0.05413923372238727,0.055807628046142366
Part_orientational,11,14,0.6881599580561852,0.6901841342513381
Being_necessary,84,126,0.04705337162278389,0.048584278684872584
Being_at_risk,81,55,0.10125930161785046,0.10361870437561516
Colonization,14,6,0.19667546338913622,0.19975815024394405
Boundary,5,9,0.4591190851227963,0.4621999717668812
Origin,28,115,3.3275190847170677e-07,4.000452309416147e-07
Arriving,85,164,0.0005101479200285697,0.0005573276285841811
Locative_relation,17,11,0.40634132309089244,0.4095625909314349
Process_start,18,81,8.823238842881054e-06,1.0160094661482155e-05
Legal_rulings,20,12,0.30252619163119554,0.3058487924995915
Law,213,167,0.07682856520353143,0.07887079755767268
Defending,28,17,0.2316149007940017,0.23482614612877095
Building,28,36,0.5025089187392826,0.5054392814288546
Locale_by_use,15,25,0.2752457645877261,0.2785462852365703
Success_or_failure,24,21,0.7263212498303633,0.7281206842961723
Explaining_the_facts,2,13,0.04589368794195137,0.04740095284571555
Completeness,15,5,0.10774735407583369,0.11017927361222568
Claim_ownership,6,6,0.9865259592782067,0.9866182118281612
Abusing,20,21,0.9365580292071427,0.9369915301863062
Reasoning,46,67,0.17704823911762524,0.1800320893600984
Cotheme,44,14,0.004623228952518987,0.004911465144532778
Memory,18,15,0.6902209461575354,0.6922332456230863
Labeling,44,102,0.0008168902051954863,0.0008870776679738013
Simple_naming,32,61,0.03691419836507204,0.03822597828547225
Morality_evaluation,44,51,0.6440311550465119,0.6463016636056045
Attaching,10,8,0.7224638118531849,0.7242864079258924
Frequency,120,104,0.4056890544312234,0.4089117292635931
Activity_finish,16,21,0.5798588192646581,0.5824563312727913
Protecting,66,54,0.4061566471922623,0.4093783142570655
Candidness,8,8,0.9844417644311909,0.9845482834714717
Strictness,7,4,0.5105510757656593,0.5134504567123128
Sequence,9,10,0.8874502154103071,0.8882158015054661
Intentionally_create,136,265,7.703839386197231e-06,8.886857537526716e-06
Sole_instance,50,55,0.767024779279127,0.7685743717618969
Removing,59,41,0.18485994219403035,0.18788564390173468
Reparation,14,7,0.26864253389734916,0.27193403329903676
Remembering_experience,6,12,0.3257208024699205,0.32904447413204174
Bringing,60,67,0.6996480228428417,0.7016056039495057
Typicality,14,6,0.19667546338913622,0.19975815024394405
Create_physical_artwork,10,3,0.16297630055506718,0.1658757377610809
Retaining,18,9,0.20973074460055463,0.21286812202291283
Preserving,31,8,0.008201126224244293,0.008650318749136021
Kinship,66,87,0.2524854104466162,0.2557483123395008
Locating,34,28,0.5625463303287183,0.5652247124749452
Social_connection,16,9,0.30879976431229905,0.3121241834671734
Give_impression,103,66,0.037263869958877094,0.03858370966572633
Reliance,18,5,0.051565348642071074,0.053185131611598435
Take_place_of,6,6,0.9865259592782067,0.9866182118281612
Similarity,80,123,0.038268864064175734,0.039611652691549315
Destroying,91,32,0.00012879026415568706,0.00014321799256011847
Commitment,50,39,0.38248649296435366,0.3857535123465291
Expertise,20,11,0.24035824902656422,0.2435932501650857
Cause_to_start,18,16,0.785775881158941,0.7872073389586578
Reading_activity,10,25,0.076695131651633,0.07873541476535773
Assistance,54,40,0.2837886896310903,0.28709869541577593
Filling,15,15,0.9786971898857838,0.9788430229902808
Change_event_time,13,5,0.1742666883014936,0.17723479464267544
Part_whole,143,156,0.6533262728697362,0.6555462207740586
Limiting,10,10,0.982605639424203,0.9827247257095613
Abandonment,34,11,0.013682663461145883,0.014341010344940175
Deny_or_grant_permission,34,34,0.9679324808100258,0.9681519407083878
Emotion_directed,214,139,0.0034555903234393393,0.0036844756143130653
Beat_opponent,10,9,0.8539884447724823,0.8549771127624404
Make_agreement_on_action,16,20,0.6572005776542391,0.6593992342716091
Using,100,121,0.3524523093966223,0.35575910312818726
Instance,66,120,0.006089003741311716,0.0064463769407459015
Means,57,39,0.17660241484653305,0.1795837719529586
Undergo_change,24,17,0.4197204974680907,0.4229110559721725
Finish_competition,16,3,0.0325645681657033,0.03377266450196503
Being_in_category,8,24,0.04777904612289052,0.04932457645394095
Being_in_operation,7,12,0.4279772603652269,0.43114715328714204
Earnings_and_losses,26,20,0.508760962311494,0.5116673182933791
Position_on_a_scale,23,9,0.07448525652091775,0.0764928721529623
Conquering,16,23,0.44433966181926743,0.44746490740503075
Point_of_dispute,29,30,0.9561953223054577,0.9564949690281533
Coming_to_be,38,84,0.0037177260983152216,0.0039603305659873245
Adopt_selection,20,21,0.9365580292071427,0.9369915301863062
Cause_to_end,8,9,0.8791947817786063,0.8800156899359276
Taking_sides,78,79,0.9964436080653114,0.9964679597021681
Familiarity,28,36,0.5025089187392826,0.5054392814288546
Posture,29,22,0.4651993602947391,0.46826093395451374
Simple_name,15,22,0.4313468000049009,0.4345078946352221
Education_teaching,79,30,0.0007220758703709862,0.0007853540446941532
Custom,25,14,0.20045687650752408,0.2035562702462833
Verdict,10,18,0.29512737810987144,0.2984463136002402
Project,46,53,0.6522208616743412,0.6544468611974008
Risky_situation,29,21,0.40246045581318024,0.4056899689478626
Feeling,24,25,0.9463921999015282,0.9467587231332238
Required_event,100,90,0.5605936879672722,0.563280975803102
Catastrophe,58,16,0.00045448851287732683,0.0004972569634918989
Documents,19,20,0.9337136550349434,0.9341665046850496
Legality,15,6,0.15681461335964775,0.15967319623567844
Cause_expansion,12,2,0.05554488564328186,0.057239223491112434
Manufacturing,13,14,0.9114413604489103,0.9120452801416227
Scrutiny,31,42,0.3832864685017898,0.3865521489842201
Interior_profile_relation,43,50,0.6397680854745094,0.6420615317060258
Perception_active,56,28,0.02693985921835018,0.028003370111687853
Being_located,16,14,0.7750368337192648,0.7765361658152946
Quarreling,16,13,0.6733658800983658,0.675474371303254
Hostile_encounter,151,151,0.9324831674231331,0.9329443838598506
Source_of_getting,17,19,0.8358026747149038,0.8369111432408021
Fear,42,27,0.18623804049355086,0.18927077288471228
Possibility,21,52,0.011316052906212848,0.011888337478893285
Judgment_communication,35,27,0.44767969079375936,0.45079523859307113
Imposing_obligation,22,18,0.6315182088826257,0.6338555832109626
Giving_in,20,7,0.0717790580008727,0.07374565589029503
Desirable_event,57,89,0.06872575740078923,0.07064468300563287
Inspecting,12,14,0.799920984103105,0.8012622014455446
Being_in_control,10,15,0.49323487547611633,0.4961998151943504
Dominate_situation,11,3,0.12470530229683618,0.12730726404534254
Death,24,26,0.8679852878922569,0.8688810267158217
Offenses,8,3,0.2775437088202346,0.2808470200201302
Process_end,19,22,0.7632448923382992,0.7648180799399971
Progression,14,28,0.1333024181468878,0.13598085965054918
Reshaping,8,3,0.2775437088202346,0.2808470200201302
Cause_emotion,13,6,0.24575517635943012,0.2490033014934936
Judicial_body,17,29,0.22157837448141637,0.22475838507411616
Differentiation,15,18,0.7319414959422754,0.7337070161027648
Deserving,15,15,0.9786971898857838,0.9788430229902808
Businesses,43,35,0.49285149019903285,0.49581783225594833
Coming_up_with,42,32,0.3860674657260461,0.38932838357618116
Cure,18,11,0.34283808793099657,0.34615306567593074
Affirm_or_deny,6,7,0.8577682851928023,0.8587319165218517
Sufficiency,31,41,0.4267042585431884,0.42987742085665925
Medical_conditions,14,7,0.26864253389734916,0.27193403329903676
Coming_to_believe,30,45,0.23532461701523588,0.2385463251711072
Seeking,19,13,0.4352920561689615,0.4384425854221542
Attempt,96,64,0.0633541425331694,0.06518539906934939
Evoking,7,10,0.6197733058027566,0.6221721386610656
Subjective_influence,43,17,0.015545143828803898,0.01626756582865474
Fame,13,3,0.07291346418152422,0.07489739455943478
Cause_motion,25,22,0.7309085456522559,0.7326803137273277
Reason,28,29,0.9544054412826237,0.9547173057981297
Partiality,12,9,0.6263651285873072,0.6287296265409907
Abounding_with,11,2,0.07366026630709677,0.07565549756406487
Sign,10,14,0.5785795703370478,0.5811831730705421
Revenge,10,18,0.29512737810987144,0.2984463136002402
Institutions,14,7,0.26864253389734916,0.27193403329903676
Size,30,24,0.5384432194017796,0.5412283251216069
Have_associated,4,7,0.5315499276213482,0.5343642287739339
Preventing_or_letting,61,54,0.6062453439874125,0.6087133297134282
Locale,33,32,0.8986923806334385,0.8993823659177724
Personal_relationship,42,50,0.585723511898911,0.5882928721921116
Motion,37,43,0.6654688912477368,0.667621693353947
Resolve_problem,18,13,0.5064745872966041,0.509389786653432
People_by_residence,14,0,0.007514740673392639,0.007934957755802885
Relative_time,53,52,0.905116707405952,0.9057633649082439
Commerce_sell,12,14,0.799920984103105,0.8012622014455446
Remembering_information,17,6,0.09877073818428439,0.1011011303976106
Correctness,21,27,0.5614352074236405,0.5641186626937862
Hiding_objects,12,5,0.22067456627011384,0.22385154874348367
Substance,7,4,0.5105510757656593,0.5134504567123128
Just_found_out,6,7,0.8577682851928023,0.8587319165218517
Being_employed,25,12,0.12208230171749401,0.12465968363356306
Estimating,8,6,0.6909908307306651,0.6929986856194159
Expectation,43,40,0.7809632840564047,0.7824252292343832
Gizmo,15,9,0.37191115214861015,0.3751945415933481
Contingency,30,22,0.4108898807104926,0.4141011014478492
Cause_to_continue,16,8,0.23697913540794602,0.24020532662149352
Work,9,5,0.43728831419602476,0.44043339023359684
Wealthiness,39,57,0.20920392926086195,0.21233926001487802
Becoming_a_member,13,10,0.6403326898034893,0.6426231073729253
Predicament,9,10,0.8874502154103071,0.8882158015054661
Cause_change_of_position_on_a_scale,28,27,0.8951183031111533,0.8958323545654904
Accomplishment,18,24,0.5317612235572127,0.5345746388757159
Cause_change,69,79,0.6003226481955096,0.6028203378726558
Being_active,13,4,0.11666705297134272,0.11919175239830038
Being_born,14,23,0.30763968264728314,0.31096385317721176
Expressing_publicly,15,14,0.8744462907381944,0.8752989400617026
Preference,10,3,0.16297630055506718,0.1658757377610809
Participation,8,15,0.31140547492305926,0.3147303094260846
Reveal_secret,52,48,0.7394582096825796,0.7411780675810777
Thriving,9,2,0.1300949385997322,0.13274556104389512
Communicate_categorization,30,25,0.6068796703691721,0.6093444538090774
Have_as_requirement,14,19,0.5554741720221247,0.5581845958942104
Alliance,14,4,0.0904353897750535,0.09266346235843603
Change_position_on_a_scale,32,31,0.8980777465724309,0.8987718725268745
Artificiality,9,3,0.2128150045571393,0.2159641021560108
Cause_harm,19,12,0.3579834114818633,0.36128446588924945
Fields,15,8,0.28958242860056105,0.2928975076376089
Successful_action,13,15,0.8084800840013164,0.8097662608894474
Assessing,26,15,0.21124193826291704,0.21438511394753723
Be_subset_of,7,5,0.6697099937663158,0.6718390602127884
Linguistic_meaning,8,11,0.6404322471248681,0.6427221303536031
Hindering,13,12,0.8679323143639242,0.8688284059909697
Mental_property,12,18,0.45291195442834675,0.456011923737733
Social_interaction_evaluation,8,6,0.6909908307306651,0.6929986856194159
Proportional_quantity,13,19,0.468444735097548,0.4714957535399773
Duration_description,24,24,0.9730557607786412,0.9732401875018284
Estimated_value,8,6,0.6909908307306651,0.6929986856194159
Trial,7,7,0.9854464879475273,0.9855461297379888
Rewards_and_punishments,16,18,0.8298091137551995,0.830956811497207
Communication_noise,7,4,0.5105510757656593,0.5134504567123128
Terrorism,15,3,0.04260212213142989,0.04404037771573299
Complaining,11,6,0.37855885172230097,0.3818322411733083
Contacting,8,9,0.8791947817786063,0.8800156899359276
Subordinates_and_superiors,9,5,0.43728831419602476,0.44043339023359684
Entity,9,4,0.3165636831421842,0.3198887630987318
Cause_to_fragment,8,5,0.5432155411502729,0.5459800812046396
Amalgamation,11,8,0.6103351668984456,0.612782435467288
Difficulty,39,44,0.7300938834198045,0.7318705744027805
Exchange,11,12,0.9008634157492265,0.9015387686328373
State_continue,34,24,0.33263953663088686,0.33596062461951137
Store,11,6,0.37855885172230097,0.3818322411733083
Natural_features,19,20,0.9337136550349434,0.9341665046850496
Committing_crime,16,14,0.7750368337192648,0.7765361658152946
Continued_state_of_affairs,15,20,0.5681106706486023,0.5707634318940855
Quantity,7,20,0.08014370468822574,0.08223353818180024
Individual_history,7,10,0.6197733058027566,0.6221721386610656
Needing,12,12,0.980945734569221,0.9810761809003432
Being_attached,12,3,0.09537068504292412,0.09766031967159428
Be_in_agreement_on_action,19,17,0.7904186024710936,0.7918205437963226
Agree_or_refuse_to_act,8,6,0.6909908307306651,0.6929986856194159
Bearing_arms,11,3,0.12470530229683618,0.12730726404534254
Vehicle,7,33,0.003900565439253767,0.004152595074228382
Suasion,12,3,0.09537068504292412,0.09766031967159428
First_rank,21,13,0.3163825498040932,0.3197076339876822
Aiming,9,3,0.2128150045571393,0.2159641021560108
People_by_age,5,9,0.4591190851227963,0.4621999717668812
