,Carlyle,Burke,p values Carlyle,p values Burke
People,357,625,0.47371906791455864,0.5768263823099229
Political_locales,551,1168,0.00011821722811566904,0.0027126481877564057
Questioning,46,17,5.26188519922588e-06,0.00038949491693462956
Possession,161,264,0.9670565402134085,0.9743379096994144
Communication_response,43,11,5.523690463915543e-07,9.618638907804566e-05
Point_of_dispute,33,29,0.04749244081406223,0.12267035424928441
Giving,28,94,0.00777214524168468,0.03814908760639135
Individual_history,7,7,0.4560600306304603,0.5615482664110406
First_rank,10,21,0.6181638077090865,0.6978388207062842
Being_employed,24,25,0.20118550138848657,0.31946476427452664
Importance,16,58,0.023874439299097605,0.07847276686585569
Feeling,16,24,0.817603909548878,0.8574407141543432
Hostile_encounter,73,151,0.20795273382693713,0.3266984491530608
Statement,387,428,6.233776460473628e-06,0.00043277759172255514
Perception_experience,87,88,0.010061692978593939,0.04500346589973225
Type,65,96,0.589439723239672,0.6742482500371075
Existence,181,242,0.09224575731935647,0.18972707582193726
Certainty,46,142,0.003019743777992412,0.020890342747222346
Quantified_mass,93,134,0.431260827333253,0.5398685391778514
Labeling,34,44,0.402034001681296,0.5139481229099084
Arriving,159,85,3.2516211945221585e-12,5.7620777815792223e-08
Awareness,169,330,0.15716330198989137,0.2705169609364948
Artificiality,3,9,0.4719621982780815,0.5753120223255808
Communication_noise,39,7,2.1011154605066196e-07,5.287354725369564e-05
Temporal_subregion,35,30,0.03480188186182109,0.10018407523398698
Locating,28,34,0.3428768603101886,0.46004599692196135
Becoming_aware,103,129,0.09992451236624467,0.20003927345954076
Desiring,111,199,0.5757973261760276,0.6629719909763913
Cotheme,25,44,0.8364242043978761,0.8722380690902882
Calendric_unit,177,91,4.8627768478581856e-14,4.373555850811783e-09
Emotion_directed,139,214,0.6209054399864289,0.7000803246338632
Required_event,89,100,0.03683998820390599,0.10395996198792312
Becoming,114,82,3.3402519340475223e-06,0.0002936770358195062
Obviousness,14,23,0.9937929911349102,0.9951654243964535
Temporal_collocation,59,57,0.02164259198813623,0.07365064612823058
Age,239,251,7.23426007543937e-05,0.001995035940408507
Continued_state_of_affairs,38,15,5.7975572770541106e-05,0.0017372196352269942
Position_on_a_scale,12,23,0.7380615910313119,0.7944963399428623
Education_teaching,39,79,0.4052147772328806,0.5167898513944251
Increment,115,235,0.13557642715365492,0.245047186888408
Risky_situation,10,29,0.21810922371965102,0.3374305251593369
Natural_features,38,19,0.0003827656958604875,0.0056685243533398655
Coming_to_believe,44,30,0.0023826262598631853,0.017974131077583166
Buildings,75,104,0.3673561136180178,0.48260613013664855
People_by_vocation,34,68,0.4669621773745505,0.5709954614305925
Simple_name,7,15,0.6501986065878679,0.7239276902171626
Being_named,58,50,0.0070060079561382604,0.035701273178038284
Attributed_information,31,64,0.4160251702086307,0.5264091833336655
Source_of_getting,2,17,0.05338562855426077,0.13241557102625856
Distinctiveness,3,11,0.32003324344405226,0.43862525211838366
Cognitive_connection,6,21,0.18890447694319856,0.3061555222805873
Kinship,72,66,0.00585661913220159,0.031842663069853616
Ordinal_numbers,44,75,0.8892431652257303,0.9136234582065763
Aesthetics,18,3,0.00034851091432686054,0.005344175417668073
Desirability,67,146,0.13433744633731803,0.24354958874787414
Origin,15,28,0.7589499510031636,0.811098490318484
Process_start,23,18,0.05601650965397742,0.13665067622951088
Opinion,69,233,2.4745154469596464e-05,0.0010210841530206016
Similarity,52,80,0.7598785224144917,0.8118352066189854
Being_active,2,13,0.1236778479272852,0.2304851130141372
State_of_entity,53,142,0.01620521540600095,0.06111721082688737
Communication_manner,20,3,0.00012320262389187153,0.00278372183545883
Correctness,16,21,0.587227675226236,0.6724231333641382
Sufficiency,32,31,0.09225092902110732,0.18973411017088915
Text_creation,29,31,0.18255543140849095,0.2991770245159322
Text,60,71,0.13414114554574064,0.24331192868601648
Personal_relationship,81,42,3.965287912466309e-07,7.833565680914756e-05
Body_movement,21,2,2.9279877796994924e-05,0.0011340662669243606
Body_parts,207,97,0.0,2.0324741889510278e-11
Cause_harm,18,19,0.2810621844087762,0.40113819144798735
Size,28,30,0.19243775215521275,0.31000955583890055
Capability,82,136,0.9722891652021011,0.9784146931267226
Law,78,213,0.002355977512269236,0.017846410546391356
Coming_up_with,6,42,0.0044004534090750225,0.026540171064869167
Death,73,24,1.853110997984686e-09,2.851262674186117e-06
Residence,39,35,0.03644133091502888,0.1032270174141563
Chatting,6,5,0.3649259276094843,0.4803834777753825
Self_motion,153,23,0.0,1.1102230246251565e-16
Time_vector,38,43,0.17999198864350463,0.29633947753601775
Proportional_quantity,5,13,0.4907234859934769,0.5914220626730865
Spatial_contact,21,6,0.0007143605281897392,0.008394950334426277
Compliance,35,98,0.03173842605982202,0.09436534617696979
Coming_to_be,16,38,0.3309512492092954,0.44891009214791955
Killing,31,67,0.32363875077688076,0.4420314562974764
Leadership,298,955,7.771561172376096e-16,3.5892200322962253e-10
Frequency,43,120,0.018069722354087547,0.06555810232119264
Come_together,18,4,0.0007708573813477448,0.008807513238368259
Social_connection,4,16,0.19618674454732365,0.31407658809519545
Give_impression,59,103,0.7814332734687515,0.8289071153679102
Transition_to_state,39,20,0.00039584148808213815,0.005789493671095269
Custom,19,25,0.5583086947097662,0.6484434779146873
Being_located,35,16,0.00033393960091898656,0.005202672225148586
Part_orientational,30,11,0.00022426911749917622,0.0040520826528215315
Request,76,76,0.014051571847966904,0.055760765989981476
Inclusion,8,29,0.11016411506786727,0.2134123079107647
Collaboration,4,9,0.6816989443283945,0.7493798799350924
Success_or_failure,11,24,0.5421941221953942,0.6349792983588085
Stimulus_focus,35,32,0.05375912542584094,0.13302091681595707
Intentionally_act,187,275,0.3419278633376399,0.4591634645644528
Military,20,81,0.003315099106089958,0.022165896163248933
Aggregate,69,197,0.0017064386133294196,0.01454863281000851
Cause_motion,32,25,0.02392189463380634,0.07857358314404261
Experiencer_focus,63,141,0.10994544380556304,0.21313088511183742
Commitment,33,50,0.7668554030123789,0.817367151228668
Morality_evaluation,22,44,0.5584502356717244,0.6485614044268364
Earnings_and_losses,10,26,0.32975008179545595,0.4477828753166063
Reading_activity,17,10,0.03306841447534248,0.09691374840542988
Motion,63,37,3.997517790332861e-05,0.001377269345165133
Member_of_military,7,6,0.3452135442662292,0.46221641634986654
Complaining,12,11,0.2605843969072146,0.3808908683166953
Likelihood,71,142,0.29317122650556415,0.4129244662652767
Simple_naming,41,32,0.010494091905336012,0.04623346069640322
Receiving,22,39,0.8295568096079975,0.866842158854478
Part_piece,6,5,0.3649259276094843,0.4803834777753825
Difficulty,16,39,0.29547880529460335,0.4151557830878795
Being_obligated,26,59,0.28196481571463894,0.40202135796633653
Manufacturing,9,13,0.8099970610393455,0.8514508389465217
Businesses,14,43,0.10490096350793776,0.20658946498204622
Attempt,50,96,0.48974092019087323,0.5905816485494123
Cardinal_numbers,59,76,0.2610120672805396,0.3813180256351727
Experiencer_obj,9,49,0.0058402843443778885,0.031785985568682174
Desirable_event,13,57,0.008987209067971347,0.04186367228823895
Perception_active,78,56,0.00011698097464174495,0.0026948528104663305
Hearsay,32,41,0.39817924645000513,0.5104971325293288
Usefulness,16,36,0.4120498116671447,0.5228786850991951
Expertise,13,20,0.8785401015573666,0.9052519192929116
Building,21,28,0.5614198816511189,0.6510342869294297
Remembering_information,13,17,0.619297137723226,0.6987656151129115
Social_interaction_evaluation,8,8,0.4255597026226767,0.5348451100000884
Reshaping,5,8,0.9671305119724942,0.9743955446034834
Work,24,9,0.0010792413130598089,0.010890620033093157
Accomplishment,15,18,0.47189431329716824,0.5752534833779899
Creating,21,90,0.001236749444980867,0.011869135099713879
Rite,25,18,0.02964004489316563,0.09026997447285168
