,Carlyle,Mill,p values Carlyle,p values Mill
People,357,663,0.00022772589584174607,0.0015204454707899995
Political_locales,551,632,0.0326750742706331,0.06614787233664177
Questioning,46,22,0.0014904887955220492,0.006286876758312077
Possession,161,212,0.850367207601699,0.871088878453168
Communication_response,43,7,2.430370954931149e-06,5.0165110159205994e-05
Point_of_dispute,33,67,0.1440566798690478,0.20889334571589846
Giving,28,66,0.05822502887445191,0.10326911757028578
Individual_history,7,7,0.6680685358518101,0.7122384171963765
Compatibility,4,11,0.346231923347341,0.4178040908287566
First_rank,10,19,0.506532149151963,0.567741109080619
Being_employed,24,45,0.32393304749722795,0.396158397870371
Importance,16,87,2.6596493591823922e-05,0.0003020803575470854
Feeling,16,37,0.16840039493914838,0.23609712863410526
Hostile_encounter,73,57,0.017190816039920787,0.04041332549086196
Statement,387,263,2.913269625537396e-11,1.0586419962876903e-08
Perception_experience,87,26,1.931708104585539e-08,1.3477651340521035e-06
Type,65,130,0.04900049161054554,0.09038559987739625
Existence,181,350,0.0028606449672601286,0.010306239207348189
Certainty,46,41,0.13888882728515273,0.20300491891494166
Quantified_mass,93,180,0.03206120988425176,0.06519012072923436
Labeling,34,27,0.11359205587992394,0.173499862448237
Arriving,159,45,8.770761894538737e-15,2.5212720800027455e-11
Awareness,169,172,0.04640454783421166,0.08666764556464601
Communication_noise,39,1,9.738172357387498e-08,4.514691205215193e-06
Temporal_subregion,35,17,0.006138923130937557,0.01841522812587415
Locating,28,17,0.0427611682215725,0.08137143743238417
Becoming_aware,103,57,2.256215999352218e-05,0.0002669604394693881
Desiring,111,127,0.3306536541928433,0.40270772572504954
Cotheme,25,30,0.7391472884582995,0.7745489533293903
Calendric_unit,177,46,0.0,3.934630399271555e-13
Emotion_directed,139,187,0.9753750275460524,0.9788168703711958
Required_event,89,110,0.6345947697748548,0.6826687158083062
Becoming,114,58,1.7804062717452496e-06,3.973085978059565e-05
Obviousness,14,16,0.7280423392419617,0.7648515428668862
Temporal_collocation,59,55,0.13082587492746733,0.19372888270887367
Age,239,47,0.0,0.0
Continued_state_of_affairs,38,22,0.013456919089586017,0.03350990938497789
Position_on_a_scale,12,44,0.015475507321917603,0.037289734674296304
Education_teaching,39,125,0.00023204253109543327,0.0015421251266876101
Increment,115,289,1.464628562530823e-05,0.00019298161448877416
Risky_situation,10,24,0.24093386923918214,0.31311299872541354
Natural_features,38,7,1.6180697495316032e-05,0.00020797240880321421
Coming_to_believe,44,52,0.6193060701687176,0.6691071531231403
Buildings,75,33,1.7894662015627283e-05,0.00022430670278106302
People_by_vocation,34,39,0.5957893949425843,0.6481720668421833
Simple_name,7,13,0.6057455746065163,0.6570467922454448
Being_named,58,31,0.0010546970643482423,0.004838734756541063
Attributed_information,31,32,0.4162039925145564,0.4843277853286865
Source_of_getting,2,16,0.04096823616448497,0.07872900468268529
Distinctiveness,3,12,0.18094252134153965,0.2498070976356649
Cognitive_connection,6,16,0.2725825201922786,0.345298064615731
Kinship,72,61,0.0400754590502842,0.07740376162166374
Ordinal_numbers,44,43,0.24967662131378432,0.3220765438227968
Aesthetics,18,3,0.00240639813145882,0.00903897078606819
Desirability,67,197,1.9331698169589018e-05,0.00023770425833846698
Origin,15,27,0.498408573089283,0.5603324180729707
Process_start,23,14,0.06702071199410842,0.11514670315246445
Opinion,69,162,0.003180201888941525,0.011168993287310136
Similarity,52,153,0.00016472743220985464,0.0011911382187005382
Being_active,2,16,0.04096823616448497,0.07872900468268529
State_of_entity,53,125,0.009087223961576907,0.024830106781040695
Communication_manner,20,0,8.100224047746796e-05,0.0006979529345590985
Correctness,16,26,0.659662463186349,0.7048277741767779
Sufficiency,32,50,0.6267477640765894,0.6757127908502402
Text_creation,29,23,0.14309591293733914,0.20780185191444567
Text,60,34,0.0015389905503826462,0.006441227313758735
Personal_relationship,81,49,0.0005431087021007253,0.002929725122891913
Body_movement,21,1,0.0001407432937453601,0.0010579785065177871
Body_parts,207,45,0.0,1.1102230246251565e-16
Cause_harm,18,8,0.036795231762181024,0.072477023120877
Size,28,32,0.6228850158473146,0.6722851225107727
Capability,82,155,0.06128495722557892,0.10744232123913833
Law,78,159,0.023215632346459847,0.05087573936155487
Coming_up_with,6,15,0.3267663238156475,0.3989222372193657
Death,73,16,1.1054787085740259e-08,8.88332087667365e-07
Residence,39,53,0.9841292824256108,0.9863478689599696
Self_motion,153,7,0.0,0.0
Time_vector,38,21,0.009960481527434673,0.0266305695483966
Spatial_contact,21,2,0.00033424319359065535,0.002030795382344075
Compliance,35,84,0.028247051501590903,0.05914331577059884
Coming_to_be,16,26,0.659662463186349,0.7048277741767779
Killing,31,6,0.00011893182184641304,0.0009319606622935073
Leadership,298,843,0.0,2.645661467681748e-13
Frequency,43,68,0.5405673553338489,0.5986101205979677
Come_together,18,1,0.0004833484772118757,0.0026828158377983913
Give_impression,59,60,0.23805134869164013,0.3101447256784954
Transition_to_state,39,13,0.0003295722822592717,0.0020093451475262647
Custom,19,32,0.563736981321973,0.6194783374918089
Being_located,35,5,1.2905372088645173e-05,0.0001754915129151824
Part_orientational,30,9,0.0009879052418092504,0.004605065886374327
Request,76,41,0.00019879719126014717,0.001372434341085027
Inclusion,8,32,0.028909822035861454,0.06020654330791719
Collaboration,4,12,0.28235491898993337,0.35509769733991703
Success_or_failure,11,33,0.0746255099916393,0.12514806232608144
Stimulus_focus,35,7,5.006209061009237e-05,0.00048596288629487727
Intentionally_act,187,256,0.9191845899077928,0.9304520763510266
Military,20,27,0.997765259725343,0.9980776890488051
Aggregate,69,242,3.787141567013208e-08,2.2286897494172564e-06
Cause_motion,32,13,0.003277794180040039,0.01142830557369201
Experiencer_focus,63,71,0.4256074437770814,0.49312749051045723
Commitment,33,26,0.11433454781899643,0.1743837126612866
Morality_evaluation,22,40,0.39512409031723594,0.46448847448411756
Earnings_and_losses,10,18,0.5804244642661802,0.6344413167567982
Reading_activity,17,12,0.18383612967406726,0.25294362012427507
Inclination,4,14,0.1865095138117796,0.25583298798205034
Motion,63,11,1.9029215647670128e-08,1.3327337656798832e-06
Complaining,12,11,0.4780242888635383,0.5416672274778325
Likelihood,71,245,4.558919797226224e-08,2.5600245652235287e-06
Simple_naming,41,15,0.00042909820147285505,0.0024521767813193707
Receiving,22,19,0.2743778961080664,0.34710305311884393
Difficulty,16,28,0.5307398957479885,0.5897241418206236
Being_obligated,26,147,2.920941966078061e-08,1.8355825651683588e-06
Manufacturing,9,11,0.8653055794046172,0.8839925566289862
Businesses,14,40,0.0613944054128287,0.10759074510895195
Attempt,50,81,0.444279731245219,0.5105145967470093
Cardinal_numbers,59,78,0.9229100586728982,0.9336607994295895
Experiencer_obj,9,10,0.7462118361147588,0.780711613138173
Desirable_event,13,128,1.3218121042157804e-09,1.8200259477296754e-07
Perception_active,78,34,1.0796406942348291e-05,0.00015349299689382256
Hearsay,32,10,0.000821382096612866,0.0040049952586024284
Usefulness,16,80,0.00010217523998035105,0.0008312614551670983
Expertise,13,37,0.07313355450390013,0.12320375571764752
Building,21,14,0.1129220918410262,0.17270133222110662
Remembering_information,13,13,0.5589805846529834,0.6152034343041954
Work,24,15,0.06865907949563455,0.1173210071862788
Accomplishment,15,7,0.06499955961481485,0.11244863923861259
Creating,21,44,0.20645794318588728,0.27715204711793573
Rite,25,14,0.038809103311538085,0.07551273189075636
Bringing,42,42,0.29356089258438844,0.36626167022270006
Cogitation,42,56,0.9599746585697878,0.9655666816308008
Foreign_or_domestic_country,14,21,0.8187064479327856,0.843699004192199
Retaining,11,13,0.8038117560849505,0.8307912628889511
Motion_directional,30,6,0.00017367922634792254,0.0012395950190052796
Assistance,41,32,0.07396927422812227,0.12429388807376784
Categorization,18,93,2.131285091400148e-05,0.0002557779252898573
Predicament,15,8,0.09517213341823894,0.15116566247106578
Measure_duration,118,22,3.5416114485542494e-14,7.148059921746608e-11
Grasp,57,61,0.3357673812945722,0.40767610718323766
Cause_to_fragment,9,2,0.04568132663764013,0.08562381192473756
Process_end,24,18,0.14634765822980655,0.21149021689805314
Change_of_leadership,92,55,0.0001920164057139795,0.0013369998050661858
Destroying,14,4,0.02182479611619348,0.0485215567197268
Removing,24,25,0.4885105511808837,0.5512827865731129
Finish_competition,27,4,0.0001415988395583323,0.001062819432390505
Part_whole,13,96,9.634573657768541e-07,2.508256979372181e-05
Intentionally_create,48,68,0.8497202329068205,0.8705297619241265
Rescuing,9,2,0.04568132663764013,0.08562381192473756
Legal_rulings,15,13,0.3701404751062167,0.44075746948767136
Criminal_investigation,6,7,0.8410497256567449,0.8630344597873225
People_by_age,9,12,0.9814657566192277,0.9840565811076574
Cure,7,9,0.9401796498132106,0.9485303364935723
Expressing_publicly,6,8,0.9848663999326547,0.9869819641912378
Religious_belief,9,8,0.5102341041158261,0.5711118749735378
Sign,4,7,0.753947555877625,0.7874542172884229
Process_continue,50,15,2.1142602368184882e-05,0.00025424164220921863
Seeking,21,13,0.08540048634273922,0.13895732630147317
Defending,6,11,0.6474724338081843,0.6940636605514673
Conquering,14,10,0.23504614280880254,0.3070430804134011
Successful_action,7,13,0.6057455746065163,0.6570467922454448
Weapon,14,3,0.011800462429987113,0.030309916267531656
Wealthiness,38,13,0.00046092039747991365,0.002588269426698653
Abounding_with,18,4,0.004712447212424475,0.015058885289758406
Separating,11,19,0.6225956938176942,0.6720282921949503
Imposing_obligation,5,28,0.015888430360052164,0.03804860424963241
Means,40,31,0.07432729259912707,0.12476009321408854
Cause_change,34,40,0.6519455994767485,0.6980160533915309
Getting,65,102,0.47506229984088777,0.538945790158967
Wearing,14,4,0.02182479611619348,0.0485215567197268
Rewards_and_punishments,7,24,0.08857551302968614,0.14295468181274007
Reasoning,13,34,0.11806742039798857,0.17880967200040254
Linguistic_meaning,11,14,0.910051784133642,0.9225843281793129
Purpose,43,152,1.1627006315406696e-05,0.00016227402681945335
Clothing,18,0,0.0001846399613890659,0.0012981031605792115
Food,15,1,0.0016782884849845248,0.006878221170628529
Judgment,28,23,0.17534264523956833,0.24370937921905445
Relative_time,24,38,0.644895741268902,0.6917856252793493
Membership,14,70,0.00027859757854753475,0.0017701260320697187
Deciding,9,22,0.24926834333325176,0.32165924268372015
Organization,49,269,1.212363542890671e-13,1.785750436411604e-10
Duration_description,21,13,0.08540048634273922,0.13895732630147317
Abandonment,11,18,0.7043222331285055,0.7440936549889152
Thriving,15,1,0.0016782884849845248,0.006878221170628529
Have_associated,17,1,0.0007309026587348777,0.0036667615382962593
Have_as_requirement,12,40,0.03149870309629832,0.06430890292735669
Discussion,23,29,0.8505235405554332,0.8712239782324037
Remainder,7,6,0.5314108758021074,0.5903315241680491
Locative_relation,44,13,5.984083077137381e-05,0.0005557569551239983
Roadways,50,12,4.172572576788269e-06,7.522465204745643e-05
Affirm_or_deny,2,11,0.1334434462608275,0.19675255109526812
Subjective_influence,13,25,0.43180931334886863,0.49891497674454244
Level_of_force_exertion,9,33,0.036020520530962385,0.07129949821779502
Ingestion,18,6,0.014706879006599283,0.035864645581508925
Locale,34,23,0.04744209428475066,0.0881589563741978
Telling,22,20,0.32742159297093676,0.39956086934357615
Remembering_experience,12,6,0.11629243296402036,0.17670874272180792
Architectural_part,12,1,0.00591660309906894,0.017905312717600097
Conduct,7,37,0.006779921991751481,0.01986196404376339
Choosing,11,57,0.000862211445269323,0.00415464208221894
Project,9,10,0.7462118361147588,0.780711613138173
Manipulation,16,0,0.0004229890644218415,0.002425774001932557
Placing,23,19,0.22400882915639186,0.2955878172433667
Moving_in_place,12,0,0.00226560532919573,0.008634949467465902
Causation,55,166,5.790040309483491e-05,0.0005421459001148099
Medical_conditions,13,10,0.30337138527595,0.3759743959575106
Attention,6,9,0.8807231648302312,0.8972988564319625
Change_posture,11,2,0.019961806954002626,0.045314051192828386
Fear,17,12,0.18383612967406726,0.25294362012427507
Identicality,37,138,1.4390214497450593e-05,0.00019044278629853917
Possibility,18,27,0.794941975601217,0.823097163752056
Employing,6,7,0.8410497256567449,0.8630344597873225
Being_necessary,19,144,1.5063278402394076e-09,2.0064120254126294e-07
Hiding_objects,12,2,0.01321357572010784,0.03304575666418885
Locale_by_use,13,26,0.3786540042936285,0.4488720552909917
Reveal_secret,16,29,0.4733214021838793,0.5373451469583028
Money,9,5,0.21186103143551893,0.28285779057536475
Contrition,9,2,0.04568132663764013,0.08562381192473756
Familiarity,19,14,0.1849438500208317,0.2541418078712091
Meet_specifications,4,8,0.6253044800363324,0.6744323489856086
Waiting,8,3,0.12454497342702175,0.1864230380602856
Ranked_expectation,4,9,0.5156569007497691,0.5760435403182377
Activity_ongoing,22,28,0.8730636243002172,0.8906895670403281
Posture,64,8,1.6138421710110151e-09,2.112327237568934e-07
Departing,27,6,0.0005377687491768812,0.002907940444447976
Expectation,19,33,0.5078717941894311,0.5689612918110342
Building_subparts,25,15,0.052732585189854464,0.09565652921532308
State_continue,16,22,0.9682338737786195,0.9726730890441178
Institutions,4,81,8.943380569448323e-08,4.236270424451405e-06
Participation,2,15,0.0517819099979171,0.09432180427297487
Deny_or_grant_permission,8,22,0.1828336818707923,0.25185810350989946
