,Carlyle,Paine,p values Carlyle,p values Paine
People,357,624,0.5857273806739518,0.6731764855750904
Political_locales,551,1130,0.0017238287713448042,0.015291209368260117
Questioning,46,36,0.005813237285508421,0.032805388280724435
Possession,161,249,0.548876844282441,0.6427222206422578
Communication_response,43,26,0.0007396109783669447,0.009016801351546921
Point_of_dispute,33,30,0.052921548391495876,0.13416282040678296
Giving,28,68,0.18446354444554858,0.3044013113498133
Individual_history,7,10,0.8021121445750627,0.8462190437185293
Compatibility,4,10,0.5869925238685556,0.6742154466408132
First_rank,10,13,0.6370155502167425,0.714981663833067
Being_employed,24,12,0.00418766558110506,0.026682771773299363
Importance,16,19,0.4247276563964133,0.5367437631906958
Feeling,16,25,0.8696973350297168,0.8989806854086425
Hostile_encounter,73,151,0.23394956280751222,0.3569958354053059
Statement,387,565,0.107256991673496,0.21260219749835774
Perception_experience,87,74,0.0005868913161604095,0.007807542081613605
Type,65,88,0.30961205842218364,0.43169912460605886
Existence,181,284,0.6049223778019621,0.6888960118096503
Certainty,46,88,0.5540813547255539,0.6470468112833296
Being_in_operation,1,12,0.079518997039832,0.17478719447464053
Quantified_mass,93,197,0.13385550817477632,0.24600971595796983
Labeling,34,102,0.017617457440890827,0.06623275222691904
Arriving,159,164,0.000547863392498571,0.007480310137813251
Awareness,169,251,0.3516172799754691,0.47101211041906277
Communication_noise,39,4,1.1667301125228846e-08,1.01198689337334e-05
Temporal_subregion,35,32,0.0480359646775147,0.1260182020530708
Locating,28,28,0.12509419680526024,0.23525734012550703
Becoming_aware,103,108,0.0070194433614171325,0.03695042508001434
Desiring,111,100,0.0003233935041520031,0.005390707025011321
Cotheme,25,14,0.006548750582875962,0.035366124769833474
Calendric_unit,177,104,2.6826318944017657e-12,6.23082914152917e-08
Emotion_directed,139,139,0.0006325218315154091,0.008179998238180275
Required_event,89,90,0.007339404196932575,0.03800556435576896
Becoming,114,108,0.0007176663205930023,0.008849213687186164
Obviousness,14,17,0.4833402447578049,0.5875142154946381
Temporal_collocation,59,60,0.030703369317297224,0.09447144143754616
Age,239,154,3.852473895449293e-14,4.766230188302245e-09
Continued_state_of_affairs,38,20,0.0004797599953050291,0.006887569651789716
Position_on_a_scale,12,9,0.14046764305802717,0.2539801711476455
Education_teaching,39,30,0.009663471192620787,0.04522894519479681
Increment,115,253,0.05172950507066709,0.13219976843709924
Risky_situation,10,21,0.6362714240438228,0.7143794427298087
Natural_features,38,20,0.0004797599953050291,0.006887569651789716
Coming_to_believe,44,45,0.0647563542813604,0.15291744449757882
Buildings,75,62,0.0009453344869381208,0.010507102683722458
People_by_vocation,34,40,0.23276835724090594,0.35578047687291015
Simple_name,7,22,0.24123598828821402,0.36445488970437023
Being_named,58,73,0.2022657134153376,0.3237462693493455
Attributed_information,31,14,0.0005705272808517181,0.007671358088569558
Source_of_getting,2,19,0.036483058331237994,0.10554067584606575
Distinctiveness,3,9,0.48077735646785125,0.5853241991785894
Cognitive_connection,6,15,0.5058709906303982,0.6066609490194206
Kinship,72,87,0.10684767399966422,0.21206892231958352
Ordinal_numbers,44,104,0.12456299398936688,0.23459799476080334
Aesthetics,18,1,4.510985916417187e-05,0.0015933408897016443
