,Mill,Burke,p values Mill,p values Burke
Age,47,251,5.295763827461997e-14,9.87776527239248e-12
Progression,33,14,0.010037007573241552,0.01983042565923554
Similarity,153,80,2.6306470284342964e-06,2.1313488172247652e-05
Aggregate,242,197,0.0015949712257448123,0.0042847326903636684
People,663,625,0.000550717180053506,0.0017719426429287921
Desirable_event,128,57,9.566431290464195e-07,9.249860845605973e-06
Activity_ongoing,28,66,0.027759550857355486,0.04645470619314218
Awareness,172,330,0.00032942526069767997,0.0011571064238162787
Desirability,197,146,0.0006085246487350648,0.0019249336693498709
Political_locales,632,1168,3.76408793023586e-10,1.4495207589781955e-08
Experiencer_focus,71,141,0.012376069673132428,0.0236232173098595
Being_at_risk,30,81,0.004730602226659109,0.010588335553732287
Organization,269,126,8.020362152194593e-12,6.115778994342236e-10
Existence,350,242,3.135448936042451e-07,3.6862499147582994e-06
Process_continue,15,45,0.020839867912841648,0.036532041781162206
Likelihood,245,142,8.183873811962172e-08,1.218243049216916e-06
Needing,33,12,0.0046376835485434365,0.010414761646665771
Change_of_leadership,55,148,0.00014123407398081156,0.0005736124150472754
Quantified_mass,180,134,0.0011510339927321978,0.0032675070213838975
Institutions,81,14,5.015572845934457e-09,1.2214949207667303e-07
Membership,70,50,0.02968626284178333,0.04914451838628009
Becoming_aware,57,129,0.003486572205994354,0.008212089009815182
Identicality,138,117,0.030300685262139915,0.049996493019591526
Statement,263,428,0.006427405030755673,0.013670798237729875
Importance,87,58,0.007163419697499562,0.014964649699720223
Hostile_encounter,57,151,0.00015315684411409958,0.0006134332839567991
Sufficiency,50,31,0.0249780410722219,0.04251906520671733
Increment,289,235,0.0005436567020322691,0.0017530756397261538
Practice,18,4,0.010089864328480913,0.019917602157548786
Preventing_or_letting,100,61,0.0012249315802573824,0.0034408405983136214
Being_necessary,144,84,4.450131859123907e-05,0.00022055317922364814
Point_of_dispute,67,29,0.00029688667556593273,0.0010615322657806514
Being_in_control,52,10,5.11847710971125e-06,3.69246587961225e-05
Regard,107,75,0.005610417053201977,0.012205814188182895
Coming_to_believe,52,30,0.013023679993168003,0.024652078932485888
Improvement_or_decline,49,12,3.9479037931000605e-05,0.00019975555907525422
Perception_experience,26,88,0.0004088566542479466,0.0013840659443133951
Judgment,23,58,0.025775374317081434,0.04365394810908074
Have_as_requirement,40,14,0.0014599442433264054,0.003981041407501884
Project,10,46,0.002452108616255888,0.006126883014334172
Foreign_or_domestic_country,21,79,0.0003442515898250953,0.0012001166528835538
Buildings,33,104,0.0002611574602807698,0.0009545046103941468
System,53,111,0.01535428483870116,0.028290240284150947
Intentionally_create,68,136,0.012880356853085861,0.024425102161516055
Measure_duration,22,57,0.022945588975568643,0.039599855159335284
Hearsay,10,41,0.006841672274803923,0.014401847517417576
Fear,12,42,0.012541804056008243,0.023887325894268563
Being_obligated,147,59,1.7483718250943525e-08,3.415706076870251e-07
Experiencer_obj,10,49,0.001312560228774906,0.0036441322246664187
Certainty,41,142,5.137212532368984e-06,3.703623194373229e-05
Usefulness,80,36,0.00012082712478800328,0.0005040774917641766
Instance,97,66,0.005819372228774045,0.012583637417259763
Expertise,37,20,0.025168892439016655,0.04279122406975788
Body_parts,45,97,0.017941232192255296,0.032226793131342246
Enforcing,18,2,0.0027143585003628345,0.0066673498923931485
Contingency,48,30,0.02964245402272314,0.049083667548502574
Telling,20,69,0.0015247469052073193,0.004127350077644865
Type,130,96,0.0050776877013747335,0.0112318586369613
Stimulus_focus,7,32,0.011755351691389637,0.022628935054470722
Stage_of_progress,15,2,0.00790954540949007,0.016254348391305906
Education_teaching,125,79,0.0005381983876483476,0.0017384615769543421
Killing,6,67,2.787615329347126e-06,2.23579089563275e-05
Being_employed,45,25,0.016267010633412182,0.029690365051737833
Position_on_a_scale,44,23,0.01173897403884372,0.02260258839298379
Military,27,81,0.0019328455802151145,0.005026799686032701
Catastrophe,16,58,0.002704203982615838,0.006646588892035066
Preserving,4,31,0.003060172599223643,0.007367043169344556
Motion,11,37,0.0224873179235644,0.03893612436235916
Destroying,4,91,3.0687939966966837e-09,8.151582908677568e-08
Judgment_communication,10,35,0.022666948429569955,0.03919654138265849
Praiseworthiness,2,17,0.025044878128629655,0.04261441354385609
Appointing,23,5,0.003411042163398381,0.008063706682879479
Sending,5,24,0.025794151444492486,0.04368060752067704
