,Mill,Paine,p values Mill,p values Paine
Age,47,154,6.66648091762756e-06,5.317265719828601e-05
Calendric_unit,46,104,0.010613572342809463,0.0218711238647763
Arriving,45,164,5.922250543299867e-07,7.444263734335266e-06
Similarity,153,123,0.007029523925478731,0.015586539932743948
Aggregate,242,123,5.353141263597649e-10,2.541466315175711e-08
People,663,624,0.00020321089983565965,0.0008584254859276275
Desirable_event,128,89,0.0015066216417767286,0.004409144033892254
Simple_naming,15,61,0.0011722096629405154,0.003590762759609234
Compliance,84,62,0.01926879854697383,0.035746544732830565
Desiring,127,100,0.010464795690087403,0.021618556248888532
Desirability,197,138,9.879498820808408e-05,0.00047686009683889363
Political_locales,632,1130,4.0662731071172686e-08,8.479220533486043e-07
Emotion_directed,187,139,0.0005596068080609973,0.0019621789063603012
Required_event,110,90,0.02763409825521601,0.04814155930429853
Existence,350,284,6.37058126876644e-05,0.0003335553476457864
Process_continue,15,87,6.161177585783939e-06,4.9873065716132814e-05
Likelihood,245,123,2.741017413043778e-10,1.4783763213621626e-08
Needing,33,12,0.003898541096131747,0.009607026856122691
Change_of_leadership,55,198,5.187641416437572e-08,1.0329923501029015e-06
Institutions,81,7,2.6534441310843704e-11,2.234673890377792e-09
Statement,263,565,3.187959740635904e-08,6.961380658587757e-07
Importance,87,19,7.581284378055386e-09,2.1739893707461988e-07
Hostile_encounter,57,151,0.00020439988531462117,0.0008625193348522631
Opinion,162,99,2.3782488046242278e-05,0.00014957128842441048
Increment,289,253,0.0023628017972089355,0.006372987518348361
Practice,18,6,0.02574178460135368,0.04540109137611381
Preventing_or_letting,100,54,0.00015759774942603055,0.0006977298027878165
Creating,44,111,0.0025080093192029196,0.006692075828648059
Custom,32,14,0.011229725189687567,0.022910706494441935
Point_of_dispute,67,30,0.0003072281725144954,0.001202653883685012
Being_in_control,52,15,5.20499781425654e-05,0.0002829478424882792
Regard,107,39,2.0965989078192138e-07,3.205786416993206e-06
Objective_influence,97,61,0.0015736580984306858,0.004569044739776151
Capability,155,125,0.007029346460908692,0.015586216632750616
Examination,16,1,0.002234147401639741,0.006087339733602537
Text,34,213,3.9768188742073107e-13,7.481493202732281e-11
State_of_entity,125,82,0.0006711557623713116,0.002276266055144416
Improvement_or_decline,49,13,4.911845874433496e-05,0.0002699035225138813
Cotheme,30,14,0.019163792124760604,0.03558577814940833
Perception_experience,26,74,0.005351611283956226,0.012458877891113995
Time_vector,21,79,0.0004096843607133138,0.0015210773628655527
Have_as_requirement,40,19,0.007629141338053591,0.016671012262719276
Project,10,53,0.0006397192851034239,0.0021887814143399797
Being_named,31,73,0.023897444958921432,0.04269720001364308
People_by_jurisdiction,28,80,0.003662488889930038,0.00912732517623549
System,53,237,1.914080005605001e-11,1.715794839540763e-09
Intentionally_create,68,265,3.924882641115346e-11,3.06730152388468e-09
Text_creation,23,90,0.00011372437476153685,0.000534802549654767
Measure_duration,22,106,3.419322142983461e-06,3.090860233656567e-05
Reliance,27,5,0.0007538895327264816,0.002503070685734854
Being_obligated,147,46,5.149314308283692e-11,3.820867955361962e-09
Coming_to_be,26,84,0.0009940339457111813,0.0031378685048870647
Labeling,27,102,5.6866098908980867e-05,0.0003040887263054959
Usefulness,80,38,0.00016116584075609452,0.0007105816662390518
Event,24,79,0.001209182739485004,0.00368313055808267
Expertise,37,11,0.0007518278668321443,0.0024974756378300933
Justifying,14,2,0.010183006284050333,0.021138464317840167
Attributed_information,32,14,0.011229725189687567,0.022910706494441935
Enforcing,18,4,0.008948612749701934,0.019007059195776943
Contingency,48,22,0.0026713933142890056,0.007047195673603457
Type,130,88,0.0008882554150917432,0.0028621270801795218
Being_active,16,4,0.01775891972133148,0.03342003841120522
Stage_of_progress,15,2,0.007059380028162643,0.01564091063765627
Education_teaching,125,30,1.820199546642698e-11,1.6473986619303105e-09
Money,5,32,0.004634544025551635,0.011071377657928094
Being_employed,45,12,0.00010315684369888167,0.0004939457269573788
Choosing,57,31,0.004601437975780609,0.011006441677334222
Level_of_force_exertion,33,4,4.878980357003737e-05,0.00026843227778017287
Position_on_a_scale,44,9,2.812254192174901e-05,0.0001714274946285066
Completeness,21,5,0.0057511867001410755,0.013217639933382985
Activity_start,17,59,0.003707501880601871,0.009219212649773878
Self_motion,7,30,0.019332528638503765,0.03584404374366357
Origin,27,115,4.987240489695566e-06,4.200122669995032e-05
Motion,11,43,0.00767464093390835,0.016752681098840982
Willingness,24,8,0.01002167226511308,0.02086255961019956
Destroying,4,32,0.0026235861612706746,0.006943696724929893
Process_start,14,81,1.310280255806262e-05,9.210174864215936e-05
Ordinal_numbers,43,104,0.005330108190244043,0.012417768279213703
Commerce_scenario,3,24,0.009170811775268684,0.019394317350149737
Commerce_pay,6,27,0.023061783067217956,0.04146057623768684
Wealthiness,13,57,0.0011109312375187086,0.003436505054807415
Referring_by_name,3,36,0.0005579659309510321,0.0019574784881100094
Sending,5,28,0.011306779230646158,0.02304000819858476
Vehicle,2,33,0.0005716585899421256,0.001996626045404848
Reforming_a_system,2,17,0.026151993768811388,0.04599796139673351
Judicial_body,6,29,0.015003446766220008,0.02908367524139044
Come_together,1,14,0.027816528757348635,0.04840405622075783
Quantity,3,20,0.023444607289057506,0.04202800968091447
Publishing,0,16,0.0075554907733990095,0.016538633482013232
Duplication,0,11,0.026764413045085145,0.046886131690310195
